Index,True Label,LSTM Top-1,LSTM Confidence (%),Agent Pick,Decision (Accept/Reject),Result (Correct/Wrong)
40,STROKE_NEURO,STROKE_NEURO,87.70%,SEPSIS,Reject,Wrong
41,STROKE_NEURO,SEPSIS,73.70%,SEPSIS,Accept,Wrong
42,STROKE_NEURO,STROKE_NEURO,52.60%,SEPSIS,Reject,Wrong
43,STROKE_NEURO,STROKE_NEURO,92.40%,ACUTE_MI,Reject,Wrong
44,STROKE_NEURO,SEPSIS,33.30%,SEPSIS,Accept,Wrong
45,STROKE_NEURO,STROKE_NEURO,96.20%,SEPSIS,Reject,Wrong
46,STROKE_NEURO,STROKE_NEURO,92.40%,SEPSIS,Reject,Wrong
47,STROKE_NEURO,HEART_FAILURE,43.40%,SEPSIS,Reject,Wrong
48,STROKE_NEURO,STROKE_NEURO,80.50%,STROKE_NEURO,Accept,Correct
49,STROKE_NEURO,STROKE_NEURO,84.10%,SEPSIS,Reject,Wrong
50,STROKE_NEURO,STROKE_NEURO,73.10%,SEPSIS,Reject,Wrong
51,STROKE_NEURO,STROKE_NEURO,62.50%,SEPSIS,Reject,Wrong
52,STROKE_NEURO,STROKE_NEURO,84.30%,SEPSIS,Reject,Wrong
53,STROKE_NEURO,STROKE_NEURO,91.30%,SEPSIS,Reject,Wrong
54,STROKE_NEURO,STROKE_NEURO,91.40%,SEPSIS,Reject,Wrong
55,STROKE_NEURO,STROKE_NEURO,67.40%,STROKE_NEURO,Accept,Correct
56,STROKE_NEURO,STROKE_NEURO,92.30%,SEPSIS,Reject,Wrong
57,STROKE_NEURO,STROKE_NEURO,80.20%,SEPSIS,Reject,Wrong
58,STROKE_NEURO,STROKE_NEURO,83.00%,SEPSIS,Reject,Wrong
59,STROKE_NEURO,STROKE_NEURO,86.40%,STROKE_NEURO,Accept,Correct
60,STROKE_NEURO,STROKE_NEURO,79.30%,SEPSIS,Reject,Wrong
61,STROKE_NEURO,STROKE_NEURO,71.50%,SEPSIS,Reject,Wrong
62,ACUTE_MI,SEPSIS,32.40%,SEPSIS,Accept,Wrong
63,ACUTE_MI,STROKE_NEURO,67.50%,SEPSIS,Reject,Wrong
64,ACUTE_MI,HEART_FAILURE,46.20%,HEART_FAILURE,Accept,Wrong
65,ACUTE_MI,ACUTE_MI,72.30%,SEPSIS,Reject,Wrong
66,ACUTE_MI,HEART_FAILURE,36.20%,SEPSIS,Reject,Wrong
67,ACUTE_MI,ACUTE_MI,53.30%,HEART_FAILURE,Reject,Wrong
68,ACUTE_MI,CORONARY_ARTERY_DZ,52.30%,SEPSIS,Reject,Wrong
69,ACUTE_MI,HEART_FAILURE,43.30%,SEPSIS,Reject,Wrong
70,ACUTE_MI,HEART_FAILURE,46.40%,SEPSIS,Reject,Wrong
71,ACUTE_MI,ACUTE_MI,29.40%,SEPSIS,Reject,Wrong
72,ACUTE_MI,SEPSIS,57.30%,SEPSIS,Accept,Wrong
73,ACUTE_MI,HEART_FAILURE,56.10%,SEPSIS,Reject,Wrong
74,ACUTE_MI,SEPSIS,56.40%,SEPSIS,Accept,Wrong
75,ACUTE_MI,HEART_FAILURE,46.80%,SEPSIS,Reject,Wrong
76,CORONARY_ARTERY_DZ,CORONARY_ARTERY_DZ,50.80%,SEPSIS,Reject,Wrong
77,CORONARY_ARTERY_DZ,CORONARY_ARTERY_DZ,50.70%,SEPSIS,Reject,Wrong
78,CORONARY_ARTERY_DZ,SEPSIS,41.00%,SEPSIS,Accept,Wrong
79,CORONARY_ARTERY_DZ,ACUTE_MI,44.30%,STROKE_NEURO,Reject,Wrong
80,CORONARY_ARTERY_DZ,CORONARY_ARTERY_DZ,41.90%,SEPSIS,Reject,Wrong
81,CORONARY_ARTERY_DZ,CORONARY_ARTERY_DZ,51.40%,SEPSIS,Reject,Wrong
82,CORONARY_ARTERY_DZ,CORONARY_ARTERY_DZ,51.80%,SEPSIS,Reject,Wrong
83,CORONARY_ARTERY_DZ,CORONARY_ARTERY_DZ,39.80%,SEPSIS,Reject,Wrong
84,CORONARY_ARTERY_DZ,CORONARY_ARTERY_DZ,52.20%,SEPSIS,Reject,Wrong
85,CORONARY_ARTERY_DZ,HEART_FAILURE,47.90%,HEART_FAILURE,Accept,Wrong
86,CORONARY_ARTERY_DZ,CORONARY_ARTERY_DZ,54.40%,SEPSIS,Reject,Wrong
87,CORONARY_ARTERY_DZ,CORONARY_ARTERY_DZ,49.60%,CORONARY_ARTERY_DZ,Accept,Correct
88,HEART_FAILURE,SEPSIS,38.20%,SEPSIS,Accept,Wrong
89,HEART_FAILURE,HEART_FAILURE,71.30%,SEPSIS,Reject,Wrong
90,HEART_FAILURE,ACUTE_MI,61.60%,SEPSIS,Reject,Wrong
91,HEART_FAILURE,SEPSIS,45.90%,SEPSIS,Accept,Wrong
92,HEART_FAILURE,HEART_FAILURE,46.50%,SEPSIS,Reject,Wrong
93,HEART_FAILURE,HEART_FAILURE,46.50%,SEPSIS,Reject,Wrong
94,HEART_FAILURE,ACUTE_MI,55.60%,CORONARY_ARTERY_DZ,Reject,Wrong
95,HEART_FAILURE,HEART_FAILURE,54.10%,SEPSIS,Reject,Wrong
96,HEART_FAILURE,HEART_FAILURE,64.50%,SEPSIS,Reject,Wrong
97,HEART_FAILURE,ACUTE_MI,32.60%,SEPSIS,Reject,Wrong
98,STROKE_NEURO,STROKE_NEURO,94.10%,SEPSIS,Reject,Wrong
99,CORONARY_ARTERY_DZ,CORONARY_ARTERY_DZ,49.60%,SEPSIS,Reject,
