index,True Label,LSTM Top-1,LSTM Confidence (%),Agent Pick,Decision (Accept/Reject),Result (Correct/Wrong)
66,TRAUMA_NEURO,SEPSIS,27.50%,TOXIC_METABOLIC,Reject,Wrong
67,TRAUMA_NEURO,STROKE_NEURO,60.40%,STROKE_NEURO,Accept,Wrong
68,SURGICAL_COMPLICATION,SEPSIS,65.80%,GI_BLEED,Reject,Wrong
69,SURGICAL_COMPLICATION,STROKE_NEURO,69.00%,STROKE_NEURO,Accept,Wrong
70,SURGICAL_COMPLICATION,HEART_FAILURE,17.70%,SEPSIS,Reject,Wrong
71,SURGICAL_COMPLICATION,SEPSIS,33.30%,SEPSIS,Accept,Wrong
72,SURGICAL_COMPLICATION,SEPSIS,68.70%,TOXIC_METABOLIC,Reject,Wrong
73,VALVE_DISEASE,SEPSIS,41.40%,HEART_FAILURE,Reject,Wrong
74,VALVE_DISEASE,CORONARY_ARTERY_DZ,31.60%,CORONARY_ARTERY_DZ,Accept,Wrong
75,VALVE_DISEASE,VALVE_DISEASE,34.40%,CORONARY_ARTERY_DZ,Reject,Wrong
76,VALVE_DISEASE,CORONARY_ARTERY_DZ,45.00%,CORONARY_ARTERY_DZ,Accept,Wrong
77,LIVER_FAILURE,LIVER_FAILURE,56.20%,TOXIC_METABOLIC,Reject,Wrong
78,LIVER_FAILURE,STROKE_NEURO,61.90%,SEPSIS,Reject,Wrong
79,LIVER_FAILURE,SEPSIS,46.10%,SEPSIS,Accept,Wrong
80,LIVER_FAILURE,LIVER_FAILURE,62.50%,SEPSIS,Reject,Wrong
81,AFIB_ARRHYTHMIA,SEPSIS,32.70%,AFIB_ARRHYTHMIA,Reject,Correct
82,AFIB_ARRHYTHMIA,AFIB_ARRHYTHMIA,39.60%,HEART_FAILURE,Reject,Wrong
83,AFIB_ARRHYTHMIA,AFIB_ARRHYTHMIA,36.70%,AFIB_ARRHYTHMIA,Accept,Correct
84,GI_BLEED,GI_BLEED,82.90%,GI_BLEED,Accept,Correct
85,GI_BLEED,SEPSIS,53.60%,GI_BLEED,Reject,Correct
86,PNEUMONIA,CORONARY_ARTERY_DZ,46.20%,VALVE_DISEASE,Reject,Wrong
87,PNEUMONIA,SEPSIS,32.50%,SEPSIS,Accept,Wrong
88,COVID,SEPSIS,67.30%,SEPSIS,Accept,Wrong
89,PULMONARY_EMBOLISM,SEPSIS,17.00%,SURGICAL_COMPLICATION,Reject,Wrong
90,ACUTE_KIDNEY_INJURY,VALVE_DISEASE,32.40%,SURGICAL_COMPLICATION,Reject,Wrong
91,PANCREATITIS,TOXIC_METABOLIC,72.20%,TOXIC_METABOLIC,Accept,Wrong
92,COPD_ASTHMA,HEART_FAILURE,54.00%,SEPSIS,Reject,Wrong
93,UTI_INFECTION,SEPSIS,38.50%,SEPSIS,Accept,Wrong
94,SKIN_SOFT_TISSUE,SEPSIS,57.90%,SEPSIS,Accept,Wrong
95,SYNCOPE,HEART_FAILURE,19.40%,TOXIC_METABOLIC,Reject,Wrong
96,UTI_INFECTION,ACUTE_MI,28.90%,CORONARY_ARTERY_DZ,Reject,Wrong
97,SEPSIS,SURGICAL_COMPLICATION,29.90%,SEPSIS,Reject,Correct
98,TRAUMA_NEURO,STROKE_NEURO,34.50%,STROKE_NEURO,Accept,Wrong
99,TOXIC_METABOLIC,PNEUMONIA,22.20%,PNEUMONIA,Accept,Wrong
